ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
61135,2018,2018,2018,IN,Indiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.1,,,32.6,35.6,"6,885",39.76691045,-86.14996019,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,18,,,,
61136,2018,2018,2018,IA,Iowa,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.3,,,34.2,36.5,"8,428",42.46940091,-93.81649056,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,19,,,,
61137,2018,2018,2018,KS,Kansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.4,,,33.2,35.6,"9,901",38.3477403,-98.20078123,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,20,,,,
61138,2018,2018,2018,KY,Kentucky,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.6,,,34.9,38.4,"8,013",37.64597027,-84.77497105,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,21,,,,
61139,2018,2018,2018,LA,Louisiana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.8,,,34.9,38.7,"4,720",31.31266064,-92.44568007,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,22,,,,
61140,2018,2018,2018,ME,Maine,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.4,,,28.9,31.9,"10,224",45.25422889,-68.98503134,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,23,,,,
61141,2018,2018,2018,MD,Maryland,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.9,,,29.8,32.1,"16,029",39.29058096,-76.60926011,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,24,,,,
61142,2018,2018,2018,MA,Massachusetts,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.7,,,24.3,27.2,"6,092",42.27687047,-72.08269067,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,25,,,,
61143,2018,2018,2018,MI,Michigan,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33,,,31.8,34.2,"9,589",44.66131954,-84.71439027,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,26,,,,
61144,2018,2018,2018,MN,Minnesota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.1,,,29.2,30.9,"15,631",46.35564874,-94.7942005,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,27,,,,
61145,2018,2018,2018,MS,Mississippi,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,39.5,,,37.8,41.2,"5,477",32.7455101,-89.53803082,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,28,,,,
61146,2018,2018,2018,MO,Missouri,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35,,,33.3,36.8,"5,802",38.63579078,-92.56630005,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,29,,,,
61147,2018,2018,2018,MT,Montana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.9,,,25.2,28.5,"4,804",47.06652897,-109.4244206,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,30,,,,
61148,2018,2018,2018,NE,Nebraska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.1,,,32.9,35.3,"13,669",41.64104099,-99.36572062,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,31,,,,
61149,2018,2018,2018,NV,Nevada,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.5,,,27.1,32,"3,005",39.49324039,-117.0718406,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,32,,,,
61150,2018,2018,2018,NH,New Hampshire,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.6,,,27.9,31.4,"5,235",43.65595011,-71.50036092,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,33,,,,
61151,2018,2018,2018,NJ,New Jersey,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.7,,,23.3,28.2,"2,767",40.13057005,-74.27369129,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,34,,,,
61152,2018,2018,2018,NM,New Mexico,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.3,,,30.7,34,"6,269",34.52088095,-106.240581,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,35,,,,
61153,2018,2018,2018,NY,New York,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.6,,,26.7,28.6,"32,076",42.82700103,-75.54397043,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,36,,,,
61154,2018,2018,2018,NC,North Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33,,,31.2,34.8,"4,294",35.46622098,-79.15925046,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,37,,,,
61155,2018,2018,2018,ND,North Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.1,,,33.3,37,"5,224",47.47531978,-100.118421,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,38,,,,
61156,2018,2018,2018,OH,Ohio,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34,,,32.7,35.3,"11,907",40.06021014,-82.40426006,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,39,,,,
61157,2018,2018,2018,OK,Oklahoma,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.8,,,33.1,36.6,"4,855",35.47203136,-97.52107021,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,40,,,,
61158,2018,2018,2018,OR,Oregon,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.9,,,28.4,31.4,"5,471",44.56744942,-120.1550313,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,41,,,,
61159,2018,2018,2018,PA,Pennsylvania,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.9,,,29.4,32.5,"5,754",40.79373015,-77.86070029,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,42,,,,
61160,2018,2018,2018,RI,Rhode Island,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.7,,,26,29.5,"5,141",41.70828019,-71.52247031,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,44,,,,
61161,2018,2018,2018,SC,South Carolina,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.3,,,33,35.6,"10,082",33.9988213,-81.04537121,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,45,,,,
61162,2018,2018,2018,SD,South Dakota,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.1,,,28.1,32.1,"6,630",44.35313005,-100.3735306,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,46,,,,
61163,2018,2018,2018,TN,Tennessee,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.4,,,32.5,36.3,"4,756",35.68094058,-85.77449091,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,47,,,,
61164,2018,2018,2018,TX,Texas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.8,,,32.8,36.8,"10,187",31.82724041,-99.42677021,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,48,,,,
61165,2018,2018,2018,UT,Utah,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.8,,,26.7,28.9,"9,727",39.36070017,-111.5871306,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,49,,,,
61166,2018,2018,2018,VT,Vermont,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.5,,,25.9,29.2,"6,021",43.62538124,-72.51764079,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,50,,,,
61167,2018,2018,2018,VA,Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.4,,,29.1,31.6,"9,517",37.54268067,-78.45789046,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,51,,,,
61168,2018,2018,2018,WA,Washington,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.7,,,27.6,29.8,"11,864",47.52227863,-120.4700108,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,53,,,,
61169,2018,2018,2018,WV,West Virginia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,39.5,,,37.8,41.3,"4,622",38.6655102,-80.71264013,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,54,,,,
61170,2018,2018,2018,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32,,,30.2,33.8,"4,585",44.39319117,-89.81637074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,55,,,,
61171,2018,2018,2018,WY,Wyoming,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29,,,27.3,30.8,"4,175",43.23554134,-108.1098304,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,56,,,,
61172,2018,2018,2018,GU,Guam,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.8,,,26.6,33.3,"1,515",13.444304,144.793731,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,66,,,,
61173,2018,2018,2018,PR,Puerto Rico,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.9,,,31.2,34.7,"4,637",18.220833,-66.590149,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,72,,,,
63097,2018,2018,2018,VI,Virgin Islands,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,~,~,Data not available because sample size is insufficient.,~,,~,18.335765,-64.896335,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,Data not available because sample size is insufficient.,,Footnote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,†,Obesity is defined as body mass index (BMI) =30.0; BMI was calculated from self-reported weight and height (weight [kg]/ height [m²). Respondents reporting weight< 50 pounds or =650 pounds; height< 3 feet or =8 feet; or BMI:<12 or =100 were excluded. Pregnant respondents were also excluded.,,Footnote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral Risk Factor Surveillance System (BRFSS) - http://www.cdc.gov/brfss/,https://www.cdc.gov/brfss/,Data Source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centers for Disease Control and Prevention. National Center for Chronic Disease Prevention and Health Promotion, Division of Nutrition, Physical Activity, and Obesity. Data, Trend and Maps [online].",/nccdphp/dnpao/data-trends-maps/index.html,Suggested Citation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breastfeeding,/breastfeeding/index.htm,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division of Nutrition, Physical Activity, and Obesity",/nccdphp/dnpao/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical Activity,/physicalactivity/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chronic Disease Prevention and Health Promotion,/chronicdisease/index.htm,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overweight and Obesity,/obesity/index.html,Related Links
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and Local Programs,/nccdphp/dnpao/state-local-programs/index.html,Related Links
